,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
681911,Alex Vesia,63,0,4,1,2,7,.714,0.08,0.83,54.1,63,0,0,2,31,54,14,6,0,2,79,24,1,37,2,.187,198,.280,.247,.527,1,3,.750,1,951,2.15,54.1,5,0,1,3,16,2,13,1.12,227,163,63,0,0,612,.640,2,0,2,0,49,0.57,1.000,17.50,6,3.29,13.09,3.98,6.13,2.32,0.33,27,7,0,2,1,,,,,,,
571760,Andrew Heaney,16,14,2,2,1,5,.800,0.25,0.50,72.2,16,0,0,1,43,69,34,16,1,14,110,19,0,60,9,.214,280,.285,.429,.714,1,0,.000,1,1230,3.10,72.2,4,4,0,0,0,0,25,1.09,310,218,16,0,0,822,.670,9,0,0,0,120,0.62,.500,16.93,1,5.79,13.62,2.35,7.43,4.21,1.73,0,0,0,1,1,,,,,,,
605131,Austin Barnes,62,0,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,54,53,31,6,0,8,37,27,0,38,3,.212,179,.324,.380,.704,1,2,.667,5,850,,,,,,,,,,,,,,,,,,,,10,0,68,1.02,,,,,,,,,,,,0,2,1,2,3.20,212,26,89,.222,22.38
660813,Brusdar Graterol,46,1,10,13,0,23,1.000,0.50,4.22,49.2,46,0,0,0,73,29,20,8,1,3,43,10,1,39,3,.215,181,.264,.320,.584,0,1,1.000,5,675,3.26,49.2,2,4,4,5,10,1,18,0.99,197,149,46,0,0,486,.720,3,0,0,0,58,2.52,.333,13.59,12,4.30,7.79,1.81,7.07,3.62,0.54,24,8,0,0,3,,,,,,,
657571,Caleb Ferguson,37,1,2,0,0,2,1.000,0.05,0.53,34.2,37,0,0,0,28,35,9,8,0,1,37,17,0,23,2,.187,123,.296,.276,.572,1,1,.500,3,580,1.82,34.2,1,0,0,0,8,0,7,1.15,142,104,37,0,0,379,.650,2,0,0,1,34,0.80,1.000,16.73,3,2.18,9.61,4.41,5.97,2.34,0.26,3,0,0,0,0,,,,,,,
455119,Chris Martin,26,0,3,2,0,5,1.000,0.19,1.88,24.2,26,0,0,0,19,25,4,2,0,1,34,1,0,12,1,.135,89,.152,.191,.343,0,1,1.000,0,342,1.46,24.2,3,1,2,3,3,1,4,0.53,92,74,26,0,0,257,.750,1,0,1,0,17,0.76,.750,13.86,2,34.00,12.41,0.36,4.38,1.46,0.36,15,1,0,0,1,,,0,0,0,.---,-.--
621035,Chris Taylor,5,5,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,56,100,45,25,3,10,160,44,2,89,5,.221,402,.304,.373,.677,1,10,.909,4,1980,,,,,,,,,,,,,,,,,,,,,,150,0.56,,,,,,,,,,,,0,0,3,,,454,43,212,.336,40.20
477132,Clayton Kershaw,22,22,10,3,2,15,.867,0.59,0.93,126.1,22,0,0,2,124,111,36,16,1,10,137,23,0,96,2,.206,465,.246,.310,.556,2,3,.600,8,1842,2.28,126.1,12,3,0,0,0,0,32,0.94,493,379,22,0,0,1250,.680,2,1,0,2,144,1.12,.800,14.58,0,5.96,9.76,1.64,6.84,2.56,0.71,0,0,0,1,2,,,,,,,
641355,Cody Bellinger,144,135,2,322,3,327,.991,2.25,2.38,1223.0,144,0,0,1,100,154,70,27,3,19,150,38,0,106,2,.210,504,.265,.389,.654,3,14,.824,7,2301,,,,,,,,,,,,,,,,,,,,,,196,0.65,,,,,,,,,,,,0,0,6,,,550,68,233,.255,26.53
518886,Craig Kimbrel,63,0,3,3,0,6,1.000,0.10,0.90,60.0,63,0,0,0,46,58,31,14,1,4,72,28,2,51,5,.227,225,.324,.351,.675,1,3,.750,4,1077,3.75,60.0,6,7,22,27,2,5,25,1.32,260,180,63,0,0,672,.620,5,1,7,0,79,0.79,.462,17.95,47,2.57,10.80,4.20,7.65,4.65,0.60,3,1,0,1,1,,,0,0,0,.---,-.--
