,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,88,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,73,96,35,13,0,12,51,18,0,73,2,.251,291,.297,.419,.716,1,1,.500,7,1146,313,122,38,115,0,2,.265,0.76,0,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,148,147,248,138,7,393,.982,2.61,2.65,1309.1,148,38,0,3,122,201,91,38,0,22,76,85,1,138,11,.262,527,.370,.459,.829,2,1,.333,17,2448,633,242,91,248,0,10,.264,0.61,0,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,53,0,6,1,0,7,1.000,0.13,1.09,58.1,53,0,0,0,45,39,16,7,0,2,83,26,0,44,4,.210,210,.307,.271,.578,1,7,.875,6,984,,57,,,0,1,,1.15,0,,2.01,58.1,4,0,2,2,6,0,13,1.20,241,175,53,0,0,608,.620,4,0,7,0,1.000,16.87,18,3.19,12.81,4.01,6.79,2.47,0.31,27,10,,
676801,Chas McCormick,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,81,81,44,11,2,14,103,44,0,84,1,.241,348,.327,.405,.732,3,4,.571,5,1540,394,141,43,128,0,1,.302,1.00,0,24.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,27,27,7,2,0,0,16,4,0,23,0,.247,93,.278,.269,.547,3,14,.824,2,373,97,25,8,35,0,0,.299,1.00,0,-.--,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,2.91
664299,Cristian Javier,29,24,2,2,0,4,1.000,0.14,0.25,142.2,29,1,0,0,65,170,44,18,1,17,187,50,0,87,6,.172,506,.254,.312,.566,2,9,.818,4,2459,,158,,,2,1,,0.38,0,,2.65,142.2,10,9,0,0,1,0,42,0.96,565,428,29,0,0,1563,.640,6,1,5,0,.526,17.24,0,3.74,11.80,3.15,5.49,2.78,1.07,0,0,,
682073,David Hensley,6,4,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,9,4,6,2,0,1,6,4,0,8,0,.296,27,.387,.481,.868,0,0,.---,3,123,31,13,5,13,0,0,.350,2.25,0,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,29,29,23,6,1,30,.967,1.00,1.37,191.0,29,0,0,1,270,100,65,22,1,11,182,63,0,155,11,.220,703,.294,.302,.596,0,7,1.000,24,2837,,212,,,2,2,,2.70,0,,2.69,191.0,16,5,0,0,0,0,57,1.14,781,573,29,3,1,1831,.650,11,1,11,0,.762,14.85,0,2.89,8.58,2.97,7.30,3.06,0.52,0,0,,
593576,Hector Neris,68,0,2,2,1,5,.800,0.06,0.57,63.2,68,1,0,1,41,67,29,13,1,3,78,15,0,49,6,.209,234,.275,.312,.587,1,3,.750,4,980,,73,,,1,0,,0.61,0,,3.82,63.2,6,4,3,7,25,4,27,1.01,256,191,68,0,0,653,.670,6,1,6,0,.600,15.39,25,5.20,11.03,2.12,6.93,4.10,0.42,7,1,,
686613,Hunter Brown,5,2,1,1,0,2,1.000,0.40,1.06,17.0,5,0,0,0,22,9,2,3,1,0,17,6,0,14,0,.226,62,.294,.306,.600,1,1,.500,2,258,,19,,,0,0,,2.44,0,,1.06,17.0,2,0,0,0,1,0,2,1.18,68,51,5,0,0,177,.690,0,0,0,0,1.000,15.18,0,2.83,9.00,3.18,7.41,1.06,0.00,0,0,,
