,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,104,55,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,87,71,16.5,2,+1.5,-,E,136,5,5
2,Los Angeles Angels,3,73,86,31.0,8,13.0,E,E,108,11,11
3,Texas Rangers,4,66,92,37.5,9,19.5,E,E,140,12,12
4,Oakland Athletics,5,57,102,47.0,12,29.0,E,E,133,15,15
0,New York Yankees,1,97,61,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,90,69,7.5,1,+4.0,-,E,141,4,4
2,Tampa Bay Rays,3,86,73,11.5,3,-,-,E,139,6,6
3,Baltimore Orioles,4,82,77,15.5,4,4.0,E,E,110,7,7
4,Boston Red Sox,5,75,84,22.5,7,11.0,E,E,111,10,10
0,Cleveland Guardians,1,90,69,-,-,-,-,-,114,3,3
1,Chicago White Sox,2,79,80,11.0,5,7.0,E,E,145,8,8
2,Minnesota Twins,3,77,82,13.0,6,9.0,E,E,142,9,9
3,Detroit Tigers,4,65,93,24.5,10,20.5,E,E,116,13,13
4,Kansas City Royals,5,64,95,26.0,11,22.0,E,E,118,14,14
