,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
623465,Evan Phillips,64,0,0,0,0,0,0,0,0,1,0,0,0,.000,0,1.000,.000,1.000,0,0,.---,0,5,1.14,63.0,7,3,2,4,19,2,8,0.76,233,189,64,0,0,611,.660,3,0,0,0,0,-.--,.700,14.65,9,5.13,11.00,2.14,4.71,1.57,0.29,22,5,0,0,0,8,3,0,11,1.000,0.17,1.57,63.0,64,0,0,0,1,0,0,.---,-.--,,
518692,Freddie Freeman,159,159,142,176,117,47,2,21,102,84,12,199,5,.325,612,.407,.511,.918,3,13,.813,6,2755,,,,,,,,,,,,,,,,,,,,,,313,0.81,,,,,,,,,,,,0,0,7,91,1155,5,1251,.996,7.84,8.14,1377.2,159,100,0,0,708,100,207,.359,29.14,,
666158,Gavin Lux,1,1,122,91,66,20,7,6,95,47,0,116,0,.276,421,.346,.399,.745,2,7,.778,3,1844,,,,,,,,,,,,,,,,,,,,,,168,1.34,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,471,42,208,.341,70.17,,
608336,Joey Gallo,1,0,29,61,32,4,1,12,106,40,0,37,0,.159,233,.282,.339,.621,0,2,1.000,0,1142,,,,,,,,,,,,,,,,,,,,,,79,0.48,,,,,,,,,,,,0,0,0,0,2,0,2,1.000,2.00,3.00,6.0,1,0,0,0,273,24,122,.217,19.42,,
628711,Julio Urias,31,31,154,196,51,20,3,23,166,41,0,127,5,.199,639,.251,.347,.598,4,5,.556,13,2622,2.16,175.0,17,7,0,0,0,0,42,0.96,689,525,31,0,0,1807,.690,5,1,0,2,222,0.79,.708,14.98,0,4.05,8.54,2.11,6.53,2.62,1.18,0,0,0,0,4,11,3,1,15,.933,0.45,0.72,175.0,31,0,0,1,,,,,,,
457759,Justin Turner,128,61,97,160,61,36,0,13,89,50,1,130,6,.278,468,.350,.438,.788,0,3,1.000,13,2144,,,,,,,,,,,,,,,,,,,,,,205,0.61,,,,,,,,,,,,0,0,8,0,0,0,0,.000,0.00,-.--,0.0,61,0,0,0,532,81,201,.313,36.00,,
571970,Max Muncy,25,25,86,152,69,22,1,21,141,90,1,91,5,.196,464,.329,.384,.713,0,2,1.000,2,2436,,,,,,,,,,,,,,,,,,,,,,178,0.57,,,,,,,,,,,,0,0,6,0,0,0,0,.000,0.00,-.--,0.0,25,0,0,0,565,69,213,.227,22.10,,
678246,Miguel Vargas,4,4,9,18,4,1,0,1,13,2,0,8,0,.170,47,.200,.255,.455,0,1,1.000,0,202,,,,,,,,,,,,,,,,,,,,,,12,0.50,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,50,8,22,.206,47.00,,
605141,Mookie Betts,1,0,127,191,117,40,3,35,104,55,0,154,8,.269,572,.340,.533,.873,2,12,.857,8,2428,,,,,,,,,,,,,,,,,,,,,,305,0.66,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,639,82,198,.272,16.34,,
592454,Tommy Kahnle,13,0,15,6,4,0,0,2,14,3,0,5,3,.128,39,.239,.282,.521,0,0,.---,2,174,2.84,12.2,0,0,1,1,1,0,4,0.63,46,38,13,0,0,118,.680,3,0,1,0,11,2.50,.---,13.74,2,4.67,9.95,2.13,3.55,2.84,1.42,0,0,0,0,1,2,4,0,6,1.000,0.46,4.50,12.2,13,0,0,0,,,,,,,
664062,Tony Gonsolin,24,24,123,138,32,19,3,11,119,35,1,79,4,.172,458,.237,.299,.536,2,5,.714,11,2015,2.14,130.1,16,1,0,0,0,0,31,0.87,498,391,24,0,0,1333,.660,4,0,5,0,137,0.89,.941,15.46,0,3.40,8.22,2.42,5.46,2.21,0.76,0,0,0,0,1,10,9,0,19,1.000,0.79,1.32,130.1,24,0,0,0,,,,,,,
572204,Trayce Thompson,6,3,4,2,1,0,0,0,7,2,0,1,0,.071,14,.188,.071,.259,1,0,.000,0,72,,,,,,,,,,,,,,,,,,,,,,1,2.00,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,16,2,8,.143,-.--,,
607208,Trea Turner,160,160,156,177,101,39,4,21,131,45,1,194,3,.298,652,.343,.466,.809,3,27,.900,9,2720,,,,,,,,,,,,,,,,,,,,,,304,0.88,,,,,,,,,,,,2,0,6,334,174,16,524,.969,3.18,3.30,1386.2,160,54,0,9,708,100,264,.342,31.05,,
542881,Tyler Anderson,31,28,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,.---,0,5,2.57,178.2,15,5,0,0,0,0,51,1.00,707,536,30,0,0,1776,.690,9,0,6,1,0,-.--,.750,14.42,0,4.06,6.95,1.71,7.30,2.87,0.71,0,0,0,0,0,31,13,3,47,.936,1.47,2.22,178.2,30,2,0,2,1,0,1,.---,-.--,,
669257,Will Smith,137,24,106,178,68,26,3,24,96,56,4,132,10,.260,508,.343,.465,.808,0,1,1.000,11,2373,,,,,,,,,,,,,,,,,,,,28,1,236,0.60,,,,,,,,,,,,0,0,4,0,0,0,0,.000,0.00,-.--,0.0,25,0,0,0,578,87,249,.276,21.17,4,2.58
622075,Yency Almonte,33,0,38,32,4,4,0,2,33,10,1,18,4,.150,120,.237,.233,.470,0,2,1.000,4,466,1.02,35.1,0,0,1,2,9,1,4,0.79,135,106,33,0,0,304,.650,4,0,0,0,28,1.19,.---,13.19,3,3.30,8.41,2.55,4.58,1.02,0.51,7,2,0,0,1,3,4,1,8,.875,0.21,1.80,35.1,33,0,0,0,,,,,,,
676265,,16,9,29,68,30,12,0,12,45,25,0,44,5,.239,184,.343,.500,.843,1,4,.800,0,845,5.25,48.0,0,5,0,0,0,0,28,1.44,216,144,16,0,0,522,.620,5,0,2,0,92,0.43,.000,17.60,7,1.80,8.44,4.69,8.25,5.63,2.25,2,0,0,0,2,1,2,0,3,1.000,0.19,0.56,48.0,16,0,0,0,,,,,,,
670970,Adrian Morejon,26,0,23,49,18,4,0,4,28,9,1,31,1,.238,130,.291,.362,.653,0,2,1.000,4,540,4.24,34.0,5,1,0,0,5,0,16,1.18,141,102,26,0,0,358,.660,1,0,0,0,47,0.47,.833,15.88,6,3.11,7.41,2.38,8.21,4.76,1.06,9,0,0,0,1,3,1,1,5,.800,0.15,1.06,34.0,26,1,0,1,,,,,,,
543592,Austin Nola,6,5,91,119,40,15,0,4,60,34,1,87,6,.251,347,.321,.329,.650,8,56,.875,5,1522,,,,,,,,,,,,,,,,,,,,27,0,114,0.76,,,,,,,,,,,,2,1,9,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,397,40,146,.284,86.75,5,3.38
605483,Blake Snell,25,24,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,3.38,128.0,8,10,0,0,0,0,48,1.20,535,384,24,0,0,1455,.620,2,0,6,3,0,-.--,.444,18.29,0,3.35,12.02,3.59,7.24,3.59,0.77,0,0,0,0,0,10,4,0,14,1.000,0.58,0.98,128.0,24,0,0,0,0,0,0,.---,-.--,,
592273,Brandon Drury,46,14,37,51,25,9,0,8,42,9,0,40,4,.238,168,.290,.435,.725,1,0,.000,2,706,,,,,,,,,,,,,,,,,,,,,,73,0.73,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,14,0,0,0,183,28,94,.267,21.00,,
673490,Ha-Seong Kim,131,125,131,163,58,29,3,11,100,51,0,130,7,.251,517,.325,.383,.708,2,12,.857,9,2359,,,,,,,,,,,,,,,,,,,,,,198,0.80,,,,,,,,,,,,0,3,4,327,120,8,455,.982,3.41,3.68,1092.0,131,59,0,3,582,59,213,.290,47.00,,
630105,Jake Cronenworth,2,2,122,202,88,30,4,17,131,70,3,140,16,.239,587,.332,.390,.722,0,3,1.000,2,2665,,,,,,,,,,,,,,,,,,,,,,229,0.60,,,,,,,,,,,,3,0,8,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,684,88,225,.275,34.53,,
605397,Joe Musgrove,30,30,185,160,67,36,2,22,184,42,1,154,14,.227,679,.284,.383,.667,0,7,1.000,13,2834,2.93,181.0,10,7,0,0,0,0,59,1.08,740,543,30,0,0,1880,.660,14,0,4,0,260,1.16,.588,15.66,0,4.38,9.15,2.09,7.66,3.33,1.09,0,0,1,0,4,17,19,1,37,.973,1.20,1.79,181.0,30,2,0,1,,,,,,,
595751,Jorge Alfaro,11,9,54,44,25,14,0,7,98,11,0,63,4,.246,256,.285,.383,.668,5,25,.833,5,1008,,,,,,,,,,,,,,,,,,,,26,1,98,1.23,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,11,0,0,0,274,40,123,.364,36.57,7,4.12
640492,Jose Azocar,3,0,57,51,24,9,3,0,44,12,0,52,0,.257,202,.298,.332,.630,6,5,.455,6,768,,,,,,,,,,,,,,,,,,,,,,67,1.12,,,,,,,,,,,,0,1,1,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,216,10,99,.327,-.--,,
605137,Josh Bell,53,31,63,39,26,5,0,3,41,32,0,34,0,.192,177,.316,.271,.587,0,0,.---,3,910,,,,,,,,,,,,,,,,,,,,,,48,1.62,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,32,0,0,0,210,14,97,.233,59.00,,
623352,Josh Hader,37,0,16,27,16,5,1,7,59,12,0,26,1,.203,128,.277,.422,.699,0,4,1.000,0,610,4.24,34.0,1,4,29,31,0,2,16,1.12,141,102,37,0,0,389,.640,1,0,2,0,54,0.59,.200,17.94,34,4.92,15.62,3.18,6.88,4.24,1.85,4,0,0,0,0,3,1,0,4,1.000,0.11,1.06,34.0,37,0,0,0,,,,,,,
665742,Juan Soto,1,1,53,52,31,8,1,6,34,44,2,43,1,.236,182,.388,.390,.778,0,0,.---,1,946,,,,,,,,,,,,,,,,,,,,,,71,1.02,,,,,,,,,,,,1,0,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,228,16,66,.261,30.33,,
595777,Jurickson Profar,6,6,161,177,82,36,2,15,103,73,0,140,4,.243,575,.331,.391,.722,1,5,.833,12,2790,,,,,,,,,,,,,,,,,,,,,,225,0.91,,,,,,,,,,,,0,3,3,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,658,58,212,.272,38.33,,
669134,Luis Campusano,5,3,12,14,4,1,0,1,11,1,0,12,0,.250,48,.260,.333,.593,0,8,1.000,2,161,,,,,,,,,,,,,,,,,,,,1,0,16,0.86,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,50,5,18,.297,48.00,1,6.35
671277,Luis Garcia,59,58,113,69,29,23,2,7,84,11,1,99,1,.275,360,.295,.408,.703,4,3,.429,5,1323,,,,,,,,,,,,,,,,,,,,,,147,1.64,,,,,,,,,,,,0,1,4,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,377,45,148,.337,51.43,,
592518,Manny Machado,15,15,121,154,100,37,1,32,133,63,10,172,1,.298,578,.366,.531,.897,1,9,.900,12,2371,,,,,,,,,,,,,,,,,,,,,,307,0.79,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,15,0,0,0,644,102,256,.337,18.06,,
605182,Mike Clevinger,23,22,93,154,56,16,1,20,91,35,0,102,10,.233,437,.304,.412,.716,1,13,.929,4,1931,4.33,114.1,7,7,0,0,0,0,55,1.20,485,343,23,0,0,1234,.640,10,0,3,0,180,0.60,.500,16.89,0,2.60,7.16,2.76,8.03,4.41,1.57,1,0,0,1,2,8,6,3,17,.824,0.61,1.11,114.1,23,0,0,3,,,,,,,
607259,Nick Martinez,47,10,116,96,44,19,0,15,95,41,0,96,4,.239,402,.315,.398,.713,1,6,.857,13,1720,3.47,106.1,4,4,8,9,8,1,41,1.29,448,319,47,0,0,1117,.650,4,0,4,1,160,1.21,.500,16.18,15,2.32,8.04,3.47,8.13,3.72,1.27,19,8,0,0,1,11,13,3,27,.889,0.51,2.04,106.1,47,2,0,2,,,,,,,
572955,Pierce Johnson,15,0,13,8,8,2,0,1,21,8,0,14,0,.250,56,.344,.339,.683,0,2,1.000,1,280,5.02,14.1,1,2,0,1,6,1,8,1.53,64,43,15,0,0,174,.620,0,0,1,0,19,1.63,.333,19.53,1,2.63,13.19,5.02,8.79,5.02,0.63,1,0,0,0,0,1,1,0,2,1.000,0.13,1.29,14.1,15,0,0,0,,,,,,,
663158,Robert Suarez,45,0,37,39,13,6,0,4,61,21,0,29,4,.176,165,.284,.285,.569,2,1,.333,2,801,2.27,47.2,5,1,1,4,11,3,12,1.05,191,143,45,0,0,506,.630,4,1,2,0,47,0.95,.833,16.80,6,2.90,11.52,3.97,5.48,2.45,0.76,17,5,0,1,0,1,3,0,4,1.000,0.09,0.77,47.2,45,0,0,0,,,,,,,
640455,Sean Manaea,30,28,137,170,95,26,5,29,156,50,1,155,3,.254,611,.311,.455,.766,0,5,1.000,11,2482,4.96,158.0,8,9,0,0,0,0,87,1.30,671,474,30,0,0,1657,.670,3,0,0,0,278,0.81,.471,15.71,1,3.12,8.89,2.85,8.83,5.41,1.65,0,0,0,2,5,5,5,0,10,1.000,0.33,0.57,158.0,30,0,0,0,,,,,,,
621051,Steven Wilson,50,1,27,75,20,8,0,7,53,20,0,36,3,.191,188,.277,.346,.623,0,2,1.000,2,874,3.06,53.0,4,2,1,3,5,2,18,1.06,214,159,50,0,0,554,.630,3,0,4,0,65,0.36,.667,16.49,8,2.65,9.00,3.40,6.11,3.40,1.19,24,13,0,1,2,3,2,1,6,.833,0.10,0.85,53.0,50,0,0,1,,,,,,,
657612,Tim Hill,55,0,67,44,20,6,1,1,25,14,1,45,4,.251,179,.317,.313,.630,0,1,1.000,7,745,3.56,48.0,3,0,0,0,7,0,19,1.23,199,144,55,0,0,476,.640,4,0,1,0,56,1.52,1.000,15.52,21,1.79,4.69,2.63,8.44,3.75,0.19,29,8,0,0,2,7,6,2,15,.867,0.24,2.44,48.0,55,0,0,2,,,,,,,
663757,Trent Grisham,148,124,112,115,58,16,2,17,150,57,1,83,7,.184,451,.284,.341,.625,1,7,.875,3,2219,,,,,,,,,,,,,,,,,,,,,,154,0.97,,,,,,,,,,,,0,7,2,3,341,2,346,.994,2.32,2.71,1143.0,148,1,0,0,524,53,198,.231,26.53,,
571976,Wil Myers,36,35,49,61,29,15,0,7,86,21,1,68,1,.261,261,.315,.398,.713,1,2,.667,7,1160,7.36,3.2,0,0,0,0,0,0,3,1.09,16,11,4,0,0,32,.740,1,0,0,0,104,0.80,.---,11.73,4,-.--,0.00,0.00,9.82,7.36,7.36,2,1,0,0,3,1,70,1,72,.986,1.97,2.09,306.2,36,1,0,1,286,41,136,.357,37.29,,
506433,Yu Darvish,30,30,162,215,67,23,0,22,197,37,0,148,12,.207,715,.256,.331,.587,2,14,.875,10,2971,3.10,194.2,16,8,0,0,0,0,67,0.95,771,584,30,0,0,2016,.680,12,1,4,0,237,0.75,.667,15.26,0,5.32,9.11,1.71,6.84,3.10,1.02,0,0,0,1,6,5,15,1,21,.952,0.67,0.93,194.2,30,0,0,0,,,,,,,
676265,,16,9,29,68,30,12,0,12,45,25,0,44,5,.239,184,.343,.500,.843,1,4,.800,0,845,5.25,48.0,0,5,0,0,0,0,28,1.44,216,144,16,0,0,522,.620,5,0,2,0,92,0.43,.000,17.60,7,1.80,8.44,4.69,8.25,5.63,2.25,2,0,0,0,2,1,2,0,3,1.000,0.19,0.56,48.0,16,0,0,0,,,,,,,
502171,Alex Cobb,28,28,193,88,72,24,0,9,151,43,0,152,3,.262,580,.315,.350,.665,2,15,.882,13,2418,3.73,149.2,7,8,0,0,0,0,62,1.30,631,449,28,0,0,1550,.640,3,1,4,1,203,2.19,.467,16.16,0,3.51,9.08,2.59,9.14,4.33,0.54,0,0,1,1,3,27,19,0,46,1.000,1.64,2.78,149.2,28,4,0,0,,,,,,,
622065,Alex Young,24,1,33,21,11,7,1,0,20,11,0,28,1,.277,101,.351,.366,.717,0,1,1.000,7,439,2.39,26.1,1,1,0,2,5,2,7,1.48,114,79,24,0,0,282,.640,1,0,3,0,37,1.57,.500,16.67,1,1.82,6.84,3.76,9.57,3.76,0.00,19,5,0,0,1,1,3,0,4,1.000,0.17,1.38,26.1,24,1,0,0,,,,,,,
607755,Andrew Vasquez,9,0,8,6,6,0,0,1,6,3,0,6,3,.231,26,.375,.346,.721,0,1,1.000,0,118,8.10,6.2,0,0,0,0,0,0,6,1.35,32,20,9,0,0,77,.650,3,1,1,0,9,1.33,.---,17.70,3,2.00,8.10,4.05,8.10,8.10,1.35,2,0,0,0,0,0,1,0,1,1.000,0.11,1.50,6.2,9,0,0,0,,,,,,,
621573,Austin Dean,1,0,4,1,1,0,0,0,0,1,0,3,0,.375,8,.444,.375,.819,0,0,.---,0,38,,,,,,,,,,,,,,,,,,,,,,3,4.00,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,9,0,2,.375,-.--,,
596103,Austin Slater,2,0,74,43,49,15,2,7,89,40,0,73,6,.264,277,.366,.408,.774,1,12,.923,9,1326,,,,,,,,,,,,,,,,,,,,,,113,1.72,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,325,34,119,.361,39.57,,
642851,Austin Wynns,5,5,43,41,14,7,0,3,38,10,0,42,3,.259,162,.313,.358,.671,5,21,.808,9,703,13.50,2.0,0,0,0,0,0,0,3,2.00,10,6,2,0,0,13,.500,0,0,13,0,58,1.05,.---,13.00,2,0.00,0.00,4.50,13.50,13.50,4.50,0,0,3,1,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,177,21,80,.320,54.00,2,3.76
543063,Brandon Crawford,116,113,115,104,50,15,2,9,98,39,3,94,8,.231,407,.308,.344,.652,1,1,.500,12,1720,,,,,,,,,,,,,,,,,,,,,,140,1.11,,,,,,,,,,,,0,0,4,287,163,16,466,.966,3.88,4.14,979.0,116,67,0,11,458,52,201,.280,45.22,,
669369,Bryce Johnson,4,3,4,5,1,0,0,0,7,1,0,2,0,.111,18,.158,.111,.269,0,0,.---,0,57,,,,,,,,,,,,,,,,,,,,,,2,0.80,,,,,,,,,,,,0,0,0,0,7,0,7,1.000,1.75,3.32,19.0,4,0,0,0,19,2,10,.182,-.--,,
666808,Camilo Doval,68,0,77,42,27,11,1,4,80,30,2,54,3,.218,248,.305,.319,.624,1,2,.667,2,1121,2.53,67.2,6,6,27,30,1,3,19,1.24,286,203,68,0,0,704,.630,3,0,4,0,79,1.83,.500,16.57,51,2.67,10.64,3.99,7.18,3.59,0.53,19,5,0,1,4,8,9,1,18,.944,0.25,2.28,67.2,68,0,0,0,,,,,,,
607074,Carlos Rodon,31,31,107,179,59,31,1,12,237,52,0,131,3,.202,649,.263,.308,.571,2,18,.900,10,2985,2.88,178.0,14,8,0,0,0,0,57,1.03,710,534,31,1,0,1979,.660,3,0,10,2,200,0.60,.636,16.77,0,4.56,11.98,2.63,6.62,2.98,0.61,0,0,1,2,3,9,3,0,12,1.000,0.39,0.61,178.0,31,0,0,0,,,,,,,
686972,Cole Waites,7,0,6,5,2,2,1,1,4,4,0,6,0,.286,21,.400,.619,1.019,0,1,1.000,1,104,3.18,5.2,0,0,0,0,0,0,2,1.76,25,17,7,0,0,67,.640,0,0,0,0,13,1.20,.---,18.35,3,1.00,6.35,6.35,9.53,3.18,1.59,0,0,0,0,0,0,0,0,0,.000,0.00,0.00,5.2,7,0,0,0,,,,,,,
681584,David Villar,10,9,29,34,21,6,1,9,58,18,0,36,6,.231,156,.331,.455,.786,1,0,.000,4,730,,,,,,,,,,,,,,,,,,,,,,71,0.85,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,10,0,0,0,181,24,70,.300,17.33,,
446334,Evan Longoria,17,8,50,71,31,13,0,14,83,27,2,65,2,.244,266,.315,.451,.766,0,0,.---,6,1187,,,,,,,,,,,,,,,,,,,,,,120,0.70,,,,,,,,,,,,0,0,3,0,0,0,0,.000,0.00,-.--,0.0,17,0,0,0,298,42,119,.297,19.00,,
665154,Ford Proctor,6,6,12,3,3,0,0,1,3,2,0,2,0,.111,18,.182,.278,.460,0,0,.---,0,81,,,,,,,,,,,,,,,,,,,,0,0,5,4.00,,,,,,,,,,,,0,0,2,11,3,0,14,1.000,2.33,2.57,49.0,6,1,0,0,22,6,7,.063,18.00,0,9.00
671218,Heliot Ramos,6,5,8,4,4,0,0,0,6,2,0,2,0,.100,20,.182,.100,.282,0,0,.---,1,77,,,,,,,,,,,,,,,,,,,,,,2,2.00,,,,,,,,,,,,0,0,0,0,12,0,12,1.000,2.00,2.63,41.0,6,0,0,0,22,0,8,.143,-.--,,
605204,J.D. Davis,49,0,22,23,20,8,0,8,56,19,1,36,2,.263,137,.361,.496,.857,0,0,.---,4,670,,,,,,,,,,,,,,,,,,,,,,68,0.96,,,,,,,,,,,,0,0,0,0,0,0,0,.000,0.00,0.00,2.0,2,0,0,0,158,14,55,.384,17.12,,
596001,Jakob Junis,23,17,121,110,57,33,3,13,98,25,0,120,4,.269,446,.313,.444,.757,1,11,.917,5,1802,4.42,112.0,5,7,0,0,0,0,55,1.29,478,336,23,0,0,1188,.660,4,0,1,2,198,1.10,.417,16.09,0,3.92,7.88,2.01,9.64,4.58,1.04,1,1,0,2,1,12,7,1,20,.950,0.83,1.53,112.0,23,0,0,0,,,,,,,
606424,Jarlin Garcia,58,0,58,77,34,11,1,10,56,18,1,60,1,.242,248,.295,.415,.710,0,3,1.000,4,1015,3.74,65.0,1,4,1,3,4,2,27,1.20,270,195,58,0,0,661,.650,1,0,2,0,103,0.75,.200,15.62,14,3.11,7.75,2.49,8.31,4.71,1.38,29,10,0,2,1,3,1,0,4,1.000,0.07,0.55,65.0,58,0,0,0,,,,,,,
613564,Jason Vosler,1,0,23,21,14,6,1,4,29,10,1,26,2,.265,98,.342,.469,.811,1,1,.500,3,419,,,,,,,,,,,,,,,,,,,,,,46,1.10,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,0.00,1.0,1,0,0,0,111,12,36,.333,24.50,,
